company_id,company_name,broad_sector,cluster_id,cluster_name,distance_from_centroid
SIEMENS,Siemens Ltd,Industrials,0,High-Quality Compounders,0.2946
ABB,Abbott India Ltd,Industrials,0,High-Quality Compounders,0.3534
ADANIENSOL,Adani Energy Solutions Ltd,Energy,0,High-Quality Compounders,0.3366
ADANIENT,Adani Enterprises Ltd,Industrials,0,High-Quality Compounders,0.2993
ADANIGREEN,Adani Green Energy Ltd,Energy,1,Defensive Dividend Payers,0.1287
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Industrials,1,Defensive Dividend Payers,0.6824
ADANIPOWER,Adani Power Ltd,Energy,0,High-Quality Compounders,0.6622
AMBUJACEM,Ambuja Cements Ltd,Materials,0,High-Quality Compounders,0.1353
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Healthcare,0,High-Quality Compounders,0.3048
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,0,High-Quality Compounders,0.0798
ATGL,Adani Total Gas Ltd,Energy,0,High-Quality Compounders,0.1085
BAJAJ-AUTO,Bajaj Auto Ltd,Consumer Discretionary,0,High-Quality Compounders,0.1305
AXISBANK,Axis Bank Ltd,Financials,0,High-Quality Compounders,0.6086
BAJAJFINSV,Bajaj Finserv Ltd,Financials,0,High-Quality Compounders,0.5732
